Rank ,Puzzles ,AMT (s) ,Solved rate ,1-sigma Mean (s) ,1-sigma STD (s) 
485,10 12 12 13 ,7.32,90%,7.76,3.55
486,1 8 9 11 ,7.33,92.7%,7.66,3.09
487,3 4 8 10 ,7.33,93.4%,7.71,3.22
488,7 10 10 11 ,7.33,93.5%,7.66,2.96
489,1 8 11 12 ,7.34,91.5%,7.84,3.47
490,2 7 8 13 ,7.34,94%,7.87,3.12
491,3 6 6 6 ,7.34,94.5%,7.78,3.18
492,3 3 4 5 ,7.35,93.9%,7.8,3.2
493,3 3 9 9 ,7.35,96%,7.74,2.78
494,5 5 9 9 ,7.36,85.3%,7.63,3.41
495,5 8 8 10 ,7.36,91.3%,7.85,3.42
496,6 8 13 13 ,7.36,93.2%,7.83,3.06
497,2 3 7 12 ,7.37,94.7%,7.83,3.05
498,3 6 8 8 ,7.37,92.8%,7.72,2.96
499,4 4 5 8 ,7.37,95.9%,7.74,2.57
500,5 6 8 8 ,7.37,92%,7.73,2.94
501,10 11 11 12 ,7.37,96.8%,7.83,2.79
502,1 11 12 13 ,7.38,93.9%,7.83,3.22
503,2 5 6 8 ,7.39,95.5%,7.95,3.04
504,3 5 6 8 ,7.39,93.5%,7.86,3.2
505,3 9 11 11 ,7.41,85.8%,7.53,3.26
506,2 10 10 11 ,7.42,85.1%,7.28,2.92
507,5 5 10 11 ,7.42,87.7%,7.8,3.5
508,5 8 12 12 ,7.42,75.7%,6.79,3.52
509,7 10 12 12 ,7.42,84.6%,7.63,3.74
510,2 2 4 7 ,7.43,95.2%,8.06,3.12
511,3 3 10 13 ,7.44,89.3%,7.72,3.49
512,3 5 10 12 ,7.45,94.8%,8.02,3.15
513,1 2 3 9 ,7.46,96.3%,7.98,3.1
514,1 4 4 4 ,7.46,95.8%,7.92,2.87
515,1 7 9 9 ,7.46,94.6%,7.92,3.18
516,1 8 9 13 ,7.46,91.4%,7.91,3.58
517,4 4 4 7 ,7.46,91.2%,7.81,3.35
518,4 7 9 9 ,7.46,86.6%,7.59,3.16
519,2 4 8 10 ,7.47,97.7%,7.95,2.63
520,2 6 9 11 ,7.47,95.7%,7.95,3.14
521,3 9 13 13 ,7.47,86.3%,7.63,3.31
522,4 8 12 13 ,7.48,91.8%,8.17,3.67
523,1 2 3 7 ,7.49,96.1%,8.16,3.19
524,1 4 5 5 ,7.49,95.8%,7.94,2.72
525,5 7 13 13 ,7.49,94.2%,7.91,3.22
526,6 6 6 9 ,7.49,89.7%,8.03,3.91
527,9 10 10 13 ,7.49,95.2%,7.92,3.06
528,1 5 5 6 ,7.5,94.8%,8,3.07
529,6 7 11 13 ,7.5,90.1%,7.91,3.45
530,2 2 6 6 ,7.51,95.7%,8.01,3.05
531,2 10 10 13 ,7.51,90%,7.69,2.91
532,3 4 4 7 ,7.51,90.3%,7.92,3.41
533,1 2 2 4 ,7.52,95.5%,7.82,2.42
534,2 6 6 6 ,7.52,95.9%,8.05,3.06
535,2 2 7 8 ,7.53,93.7%,7.87,2.98
536,2 6 6 13 ,7.53,84.8%,7.55,3.14
537,3 3 5 5 ,7.53,89.4%,7.75,3.15
538,3 5 5 7 ,7.53,89.9%,7.77,3.17
539,3 5 6 12 ,7.54,93.3%,8.06,3.23
540,4 4 7 9 ,7.54,93.2%,7.96,3.42
541,4 4 8 8 ,7.54,95.7%,8.16,3.21
542,5 10 13 13 ,7.54,92.5%,8,2.82
543,8 8 8 12 ,7.54,88.3%,7.92,4
544,1 2 4 13 ,7.55,93.6%,7.89,2.95
545,3 7 9 10 ,7.55,91.9%,8.13,3.51
546,2 3 4 12 ,7.57,94.3%,8.1,3.3
547,2 6 6 11 ,7.59,83.2%,7.38,3.15
548,3 6 10 12 ,7.59,92.9%,8.09,3.43
549,2 4 4 13 ,7.61,85.3%,7.73,3.42
550,2 7 8 8 ,7.61,92.4%,7.98,3.07
551,2 8 12 13 ,7.61,89.3%,7.85,3.52
552,3 4 4 12 ,7.61,90.4%,7.91,3.31
553,2 4 5 13 ,7.62,94.7%,8.2,3.28
554,1 2 12 13 ,7.63,96%,8.35,3.37
555,3 4 9 12 ,7.63,94.5%,8.09,3.12
556,2 3 5 6 ,7.64,95.1%,8.07,2.95
557,3 9 12 12 ,7.64,90.9%,8.2,3.48
558,9 11 13 13 ,7.64,92%,8.14,3.18
559,2 6 8 11 ,7.65,93.4%,8.09,3.36
560,1 3 8 12 ,7.66,96.7%,8.17,2.9
561,2 4 4 11 ,7.66,84.5%,7.67,3.43
562,4 8 10 11 ,7.68,90.3%,8.01,3.49
563,1 4 10 11 ,7.69,95%,8.14,3.18
564,8 9 11 13 ,7.69,90.7%,8.12,3.67
565,1 9 11 11 ,7.7,89.6%,7.83,3.03
566,2 6 11 13 ,7.7,89.8%,7.86,3.33
567,1 4 9 12 ,7.71,95.9%,8.38,3.37
568,2 2 4 10 ,7.71,94.2%,8.04,2.91
569,4 5 7 8 ,7.72,95.6%,8.22,3.13
570,4 7 9 10 ,7.72,90.5%,8.24,3.69
571,2 2 2 10 ,7.73,94.1%,8.14,3.33
572,3 3 4 12 ,7.73,95%,8.39,3.24
573,2 6 8 10 ,7.74,93.1%,8.24,3.45
574,3 4 4 9 ,7.75,90.9%,8.26,3.3
575,3 6 12 12 ,7.75,93.1%,8.31,3.53
576,1 2 2 5 ,7.77,94.3%,8.03,2.83
577,1 3 5 11 ,7.77,93%,8.09,2.84
578,5 6 7 8 ,7.77,93.7%,8.26,3.12
579,5 6 10 10 ,7.77,86.7%,8.05,3.79
580,3 3 4 7 ,7.78,90.3%,8.27,3.56
581,3 6 6 9 ,7.78,96.1%,8.26,2.99
582,6 6 10 12 ,7.78,93.8%,8.17,3.09
583,1 2 9 12 ,7.79,92.4%,8.38,3.82
584,4 4 4 5 ,7.79,84.9%,7.82,3.76
585,1 2 4 11 ,7.81,91.7%,8.05,2.81
586,1 6 9 13 ,7.81,90.6%,8.21,4.02
587,1 5 6 10 ,7.82,91.5%,8.15,3.24
588,2 5 5 11 ,7.83,82.9%,7.67,3.38
589,1 4 8 11 ,7.84,95.4%,8.29,2.88
590,5 6 6 6 ,7.84,87.4%,7.96,3.48
591,3 5 8 11 ,7.85,89.6%,8.12,3.49
592,8 11 12 12 ,7.85,77.6%,7.27,3.56
593,1 4 4 10 ,7.86,92.1%,8.07,3.39
594,5 6 10 11 ,7.86,90.2%,8.19,3.5
595,6 6 7 10 ,7.86,84.1%,7.89,4.08
596,6 6 9 12 ,7.86,91.8%,8.15,3.34
597,3 12 12 12 ,7.87,90.9%,8.19,3.42
598,1 2 6 9 ,7.88,94.4%,8.43,3.57
599,2 2 9 11 ,7.88,91.5%,8.17,3.27
600,2 7 7 11 ,7.88,86.4%,7.9,3.67
601,3 9 10 10 ,7.88,84.7%,7.78,3.48
602,5 8 8 9 ,7.88,87%,8.11,3.93
603,3 4 12 13 ,7.89,93.2%,8.46,3.7
604,3 6 10 10 ,7.89,85.3%,7.89,3.7
605,2 2 4 8 ,7.9,95.8%,8.41,3.06
606,4 5 10 11 ,7.9,88.1%,8.34,4.19
607,10 12 13 13 ,7.9,94.3%,8.37,2.93
608,1 4 4 9 ,7.91,94.1%,8.32,3.39
609,3 3 8 9 ,7.91,88.7%,8.29,3.85
610,2 4 6 10 ,7.92,93.7%,8.33,3.37
611,6 7 8 10 ,7.92,91.5%,8.45,3.58
612,3 4 5 5 ,7.93,93.9%,8.63,3.7
613,3 7 12 12 ,7.93,91.2%,8.29,3.44
614,2 2 6 12 ,7.94,94.2%,8.52,3.5
615,3 6 7 9 ,7.94,92.9%,8.37,3.49
616,4 5 8 9 ,7.94,89.1%,8.35,4.05
617,4 6 8 9 ,7.94,93.3%,8.4,3.44
618,4 8 9 10 ,7.94,88.9%,8.16,3.36
619,7 8 11 13 ,7.94,90.2%,8.48,3.82
620,2 2 3 3 ,7.95,93.3%,8.31,3.26
621,8 10 13 13 ,7.95,92.5%,8.33,3.33
622,2 3 5 11 ,7.96,94.9%,8.48,3.3
623,3 4 7 9 ,7.96,93.2%,8.42,3.77
624,3 12 12 13 ,7.97,92.5%,8.34,3.27
625,1 4 6 11 ,7.99,92.3%,8.29,3.23
626,2 3 3 6 ,7.99,96.1%,8.47,2.94
627,2 5 6 13 ,8,91.3%,8.45,3.61
628,3 4 10 12 ,8,92.5%,8.38,3.5
629,5 8 8 13 ,8,92.6%,8.39,3.67
630,3 9 12 13 ,8.01,89.7%,8.49,3.96
631,1 3 6 9 ,8.03,92.8%,8.55,3.26
632,1 2 5 9 ,8.04,95%,8.53,3.12
633,3 7 10 11 ,8.04,90.6%,8.28,3.36
634,4 4 6 12 ,8.04,93.9%,8.74,3.8
635,4 10 12 12 ,8.05,92.1%,8.49,3.36
636,2 7 8 11 ,8.06,94.7%,8.63,3.61
637,10 11 12 13 ,8.07,95.8%,8.65,3.48
638,2 3 4 8 ,8.08,92.6%,8.8,4.01
639,2 8 8 9 ,8.08,90.3%,8.39,3.37
640,4 7 9 12 ,8.08,94.9%,8.59,3.27
641,4 8 8 9 ,8.08,92.2%,8.31,3.05
642,3 5 8 8 ,8.1,92.1%,8.51,3.83
643,4 5 9 10 ,8.1,90.7%,8.46,3.61
644,8 10 10 12 ,8.1,94.2%,8.57,3.43
645,2 4 9 13 ,8.11,93.5%,8.48,3.51
646,1 1 7 10 ,8.12,85%,8.24,4.3
647,2 2 3 7 ,8.12,88.1%,8.45,3.8
648,1 5 9 10 ,8.13,93.5%,8.62,3.79
649,2 5 6 7 ,8.13,92.4%,8.58,3.67
650,2 7 11 12 ,8.13,91.5%,8.5,3.44
651,2 8 9 13 ,8.14,90.2%,8.42,3.6
652,1 4 5 11 ,8.15,90.6%,8.44,3.92
653,1 4 9 11 ,8.15,94.3%,8.78,3.69
654,3 4 9 11 ,8.16,89.7%,8.41,4
655,3 7 8 12 ,8.16,95.1%,8.66,3.25
656,4 6 8 12 ,8.16,94.1%,8.79,3.49
657,2 4 8 8 ,8.17,93.7%,8.79,4.12
658,3 5 6 6 ,8.17,92.1%,8.69,3.63
659,1 3 4 13 ,8.18,94.2%,8.75,3.66
660,1 3 6 13 ,8.18,91.9%,8.43,3.18
661,2 7 9 10 ,8.18,93.9%,8.55,3.2
662,2 8 9 10 ,8.18,88.7%,8.37,3.79
663,3 6 9 10 ,8.18,92.3%,8.51,3.58
664,2 4 8 11 ,8.2,92.8%,8.53,3.64
665,2 4 8 12 ,8.2,93.9%,8.91,4.2
666,1 8 11 13 ,8.21,88.2%,8.33,3.56
667,9 10 12 13 ,8.22,93.6%,8.82,3.62
668,6 8 8 10 ,8.23,91%,8.69,4.05
669,5 5 8 9 ,8.24,89.6%,8.69,3.92
670,1 5 5 13 ,8.25,93.1%,8.43,3.23
671,2 2 4 11 ,8.25,91.5%,8.63,3.68
672,4 4 10 12 ,8.25,90.6%,8.59,3.95
673,2 2 6 10 ,8.26,95.2%,8.69,3.04
674,5 8 9 11 ,8.29,89.8%,8.54,3.69
675,5 8 11 13 ,8.29,88.5%,8.39,3.39
676,1 6 11 12 ,8.3,88.6%,8.28,2.97
677,5 5 8 8 ,8.31,84.6%,8.44,3.91
678,5 6 9 10 ,8.31,90.8%,8.81,3.82
679,1 3 4 9 ,8.33,94.5%,8.81,3.79
680,6 6 7 9 ,8.33,90.7%,8.69,3.74
681,2 5 10 11 ,8.34,94.1%,8.92,3.54
682,1 3 12 12 ,8.35,85.5%,8.64,4.82
683,3 4 5 10 ,8.35,90.4%,8.71,4.03
684,2 4 4 4 ,8.36,94.6%,8.79,3.2
685,1 2 8 9 ,8.37,93.3%,8.93,3.45
686,2 8 8 11 ,8.37,83.9%,8.11,3.48
687,3 4 7 10 ,8.37,93.3%,8.64,3.48
688,4 4 8 11 ,8.38,86.8%,8.37,3.73
689,3 6 8 9 ,8.41,93.8%,8.83,3.19
690,6 8 10 13 ,8.41,86.6%,8.48,3.69
691,1 2 2 7 ,8.42,91.6%,8.76,3.38
692,2 9 10 11 ,8.42,88.8%,8.34,3.31
693,4 4 4 9 ,8.44,88.2%,8.47,3.98
694,4 7 8 9 ,8.44,92.1%,8.83,3.72
695,1 4 9 10 ,8.45,93.3%,8.91,3.68
696,4 4 7 12 ,8.45,89.4%,8.82,4.15
697,6 8 8 11 ,8.45,87.6%,8.66,3.87
698,2 3 3 7 ,8.46,92%,8.9,3.71
699,5 6 10 13 ,8.46,91.3%,9.12,4.23
700,1 2 6 13 ,8.47,90.6%,8.96,3.96
701,1 6 10 13 ,8.47,87.7%,8.67,4.08
702,2 4 7 10 ,8.47,91.2%,8.74,3.85
703,3 3 7 11 ,8.47,92.1%,8.77,3.58
704,1 6 12 13 ,8.48,89.3%,8.52,3.28
705,2 9 12 13 ,8.48,90.6%,8.88,3.88
706,6 6 8 9 ,8.48,90.3%,8.74,3.48
707,3 3 8 12 ,8.49,91.5%,9.02,3.91
708,4 4 6 11 ,8.49,86.4%,8.56,4.42
709,3 11 12 12 ,8.5,90.8%,8.78,3.31
710,2 4 6 6 ,8.51,94.2%,9.27,3.98
711,2 9 10 13 ,8.52,90.2%,9.12,4.07
712,5 7 8 8 ,8.52,82.7%,8.47,4.68
713,6 6 9 11 ,8.52,88.7%,8.91,4.05
714,1 3 4 10 ,8.54,92.9%,8.8,3.37
715,1 11 13 13 ,8.55,91.3%,8.88,3.74
716,2 10 11 13 ,8.55,89.5%,8.61,3.44
717,3 6 7 12 ,8.55,89.9%,8.83,3.77
718,1 2 7 8 ,8.57,94.4%,9.08,3.55
719,2 2 3 13 ,8.57,87.5%,8.58,3.61
720,2 3 10 13 ,8.57,93.4%,9.07,3.96
721,1 2 3 3 ,8.58,95.6%,8.92,2.97
722,2 6 6 10 ,8.59,94.1%,9.04,3.64
723,2 8 11 12 ,8.59,88.1%,8.8,4.15
724,3 7 7 13 ,8.59,93.5%,8.87,3.13
725,2 2 4 13 ,8.6,91.2%,9.11,4.14
726,4 5 6 7 ,8.6,90.1%,8.98,3.82
727,4 5 8 12 ,8.61,93.4%,9.12,3.71
728,1 2 3 11 ,8.62,95.7%,9.03,3.42
729,2 4 6 9 ,8.62,91.8%,9.11,4.18
730,1 4 6 7 ,8.63,87.2%,8.87,4.55
731,4 4 9 11 ,8.63,82.3%,8.31,4.41
732,1 2 9 13 ,8.64,93.4%,9.24,4.14
733,4 6 10 12 ,8.64,93.8%,9.22,3.95
734,7 8 8 11 ,8.64,80.7%,8.25,4.54
735,1 2 5 13 ,8.65,94.3%,9.2,3.69
736,4 4 4 11 ,8.65,86.1%,8.84,4.64
737,2 4 7 11 ,8.66,92.6%,9,3.81
738,2 4 9 9 ,8.66,90%,8.77,3.82
739,2 6 7 8 ,8.66,89.7%,9.05,3.93
740,2 2 8 10 ,8.68,94.3%,9.28,3.27
741,6 8 9 13 ,8.7,93.9%,9.37,3.97
742,1 3 4 7 ,8.71,95%,9.51,3.84
743,1 3 9 13 ,8.71,93.8%,9.3,4.14
744,2 3 7 11 ,8.72,91.9%,9.14,4.23
745,2 4 10 13 ,8.72,88.9%,9.11,4.44
746,2 9 11 11 ,8.72,89.2%,9.13,4.04
747,4 5 9 13 ,8.73,89.2%,9.38,4.78
748,3 9 9 10 ,8.74,86.6%,8.77,3.79
749,4 8 9 11 ,8.74,93%,9.24,3.94
750,6 6 8 11 ,8.74,82.8%,8.46,4.45
751,2 8 9 11 ,8.76,90.6%,9.13,3.79
752,3 4 7 7 ,8.76,94.1%,9.44,3.81
753,6 6 8 10 ,8.77,90.1%,9.04,4.06
754,1 2 6 11 ,8.78,90%,9.23,4.26
755,4 11 12 13 ,8.78,91.2%,9.19,3.84
756,2 5 7 10 ,8.79,92.1%,9.2,3.73
757,5 5 9 10 ,8.79,86.7%,9.11,4.34
758,2 3 5 9 ,8.8,92.1%,9.34,4.34
759,9 10 11 13 ,8.8,89.8%,9.07,3.79
760,1 3 8 8 ,8.81,86.6%,9.05,4.56
761,4 5 8 8 ,8.82,86.2%,8.8,4.04
762,4 4 8 10 ,8.84,91.3%,9.15,4.34
763,6 8 12 12 ,8.85,91.5%,9.56,4.29
764,3 5 9 12 ,8.87,89.9%,9.16,4
765,3 7 10 13 ,8.87,88.3%,9.33,4.71
766,4 8 8 12 ,8.88,94.5%,9.47,3.92
767,3 10 11 12 ,8.89,89.4%,9.06,3.71
768,4 12 12 12 ,8.89,86.2%,9.23,4.75
769,3 4 4 5 ,8.9,91.1%,9.22,3.99
770,1 2 4 5 ,8.91,90.5%,9.32,4.21
771,4 4 8 13 ,8.91,86.7%,8.86,4.24
772,5 6 6 10 ,8.91,88.9%,9.11,3.85
773,2 3 4 13 ,8.92,90.9%,9.25,3.94
774,1 1 3 10 ,8.93,88.2%,8.94,3.88
775,3 5 6 9 ,8.93,92.5%,9.36,3.68
776,1 4 5 10 ,8.94,91.2%,9.05,3.61
777,1 4 6 9 ,8.94,86%,8.8,3.99
778,1 5 5 9 ,8.94,88.4%,9.1,3.71
779,2 2 5 6 ,8.94,88.5%,9.23,4.43
780,7 8 10 13 ,8.94,92.1%,9.44,4.1
781,2 5 8 13 ,8.95,92.9%,9.45,3.91
782,1 3 5 10 ,8.97,93.3%,9.46,3.71
783,3 9 10 12 ,8.98,90.3%,9.23,3.67
784,1 3 3 10 ,8.99,89.7%,9.08,4.11
785,2 2 3 6 ,9,91.7%,9.3,4.02
786,2 11 12 13 ,9,89.7%,9.38,3.98
787,1 2 4 9 ,9.01,90.7%,9.34,3.92
788,3 5 6 7 ,9.01,89.5%,9.04,3.79
789,4 5 5 9 ,9.01,91.2%,9.33,3.87
790,2 2 5 7 ,9.02,89%,9.08,3.69
791,2 3 9 9 ,9.02,90.5%,9.41,4
792,3 6 12 13 ,9.02,86.3%,8.95,4.32
793,5 5 6 7 ,9.04,90.8%,9.48,4.07
794,6 6 8 13 ,9.06,83.3%,8.77,4.28
795,6 6 6 12 ,9.07,89.4%,9.27,4.53
796,4 7 10 10 ,9.09,83.7%,8.81,4.14
797,6 8 11 13 ,9.09,86.1%,9.42,4.51
798,1 5 9 11 ,9.11,93.1%,9.57,3.93
799,8 8 9 13 ,9.11,81.1%,8.67,4.71
800,1 5 6 8 ,9.12,90.2%,9.19,3.87
801,2 3 6 10 ,9.14,92.3%,9.38,3.77
802,3 4 7 11 ,9.14,87.3%,9.16,4.64
803,4 4 5 10 ,9.14,86%,9.17,4.73
804,2 2 3 11 ,9.15,86%,9.16,4.15
805,2 5 8 9 ,9.15,92.5%,9.46,3.72
806,2 10 11 11 ,9.15,86.2%,9.1,3.96
807,2 2 5 11 ,9.16,87.5%,9.44,4.4
808,5 10 10 12 ,9.16,86.9%,9.12,3.59
809,2 3 4 11 ,9.18,88.4%,9.35,4.14
810,1 5 10 13 ,9.19,88.5%,9.2,3.45
811,1 3 5 7 ,9.2,89.9%,9.45,4.08
812,3 5 5 9 ,9.2,83.3%,8.88,4.02
813,7 12 12 13 ,9.2,82.5%,8.92,4.14
814,4 7 7 11 ,9.22,87.5%,9.51,4.53
815,5 7 8 9 ,9.22,88.8%,9.51,4.19
816,8 8 8 13 ,9.23,84.5%,9.21,4.3
817,3 7 8 9 ,9.24,87%,9.25,3.88
818,2 3 8 12 ,9.25,93%,9.73,3.77
819,2 8 8 10 ,9.25,92.8%,9.47,3.78
820,3 3 6 11 ,9.26,90.2%,9.68,4.42
821,5 6 7 12 ,9.29,84.5%,9.23,4.34
822,3 4 6 12 ,9.3,93.4%,9.83,3.96
823,4 5 10 13 ,9.3,91.1%,9.75,4.4
824,2 3 4 4 ,9.32,94.1%,9.73,3.6
825,1 2 7 9 ,9.34,93.3%,9.81,3.83
826,2 2 6 8 ,9.34,95.5%,9.77,3.6
827,1 1 4 10 ,9.35,85.2%,9.22,5.04
828,5 8 9 12 ,9.35,92.2%,9.79,3.94
829,2 3 3 9 ,9.36,93.1%,9.8,3.84
830,3 3 3 9 ,9.37,84.1%,9.33,4.74
831,3 9 11 12 ,9.37,90.1%,9.81,4.38
832,1 9 11 13 ,9.38,87.8%,9.55,4.08
833,5 11 12 12 ,9.4,82.5%,9,4.16
834,3 7 7 10 ,9.41,89.1%,9.68,4.3
835,4 5 7 12 ,9.41,87.6%,9.32,3.9
836,2 4 4 7 ,9.42,89.4%,9.59,4.3
837,3 3 4 9 ,9.43,92.1%,9.75,3.8
838,3 4 5 9 ,9.43,85%,9.22,4.45
839,3 4 6 10 ,9.45,89.8%,9.93,4.74
840,5 9 9 11 ,9.46,89.3%,9.64,3.82
841,4 5 5 7 ,9.47,82.5%,9.09,4.26
842,3 8 9 12 ,9.48,90%,9.9,4.42
843,2 5 6 10 ,9.5,88%,9.55,4.45
844,1 6 9 10 ,9.52,91.9%,9.78,3.77
845,6 6 6 8 ,9.52,91.3%,9.84,4.24
846,2 7 9 13 ,9.53,87.1%,9.77,4.8
847,4 7 11 12 ,9.54,86.2%,9.66,4.71
848,2 3 6 11 ,9.56,90.2%,9.91,4.44
849,4 7 8 13 ,9.57,90.8%,10.05,4.35
850,2 3 8 11 ,9.58,92.5%,10.14,4.06
851,5 6 8 9 ,9.58,89.9%,9.85,4.36
852,2 6 8 8 ,9.59,92.5%,9.94,4.1
853,2 4 5 9 ,9.6,86.4%,9.62,4.65
854,3 3 5 9 ,9.6,87%,9.59,3.98
855,6 6 8 12 ,9.6,90.8%,9.93,4.24
856,1 7 12 12 ,9.61,80.3%,8.85,4.34
857,4 5 7 11 ,9.61,87.2%,9.82,4.96
858,2 2 4 9 ,9.63,90.5%,9.91,4.32
859,3 5 9 13 ,9.63,91.3%,9.95,4.02
860,3 7 8 13 ,9.63,83.9%,9.56,4.84
861,3 3 6 9 ,9.66,94.2%,10.33,4.11
862,4 4 5 7 ,9.67,85%,9.37,4.45
863,4 9 12 12 ,9.68,89.3%,10.15,4.33
864,1 5 6 13 ,9.73,90.2%,10.1,4.64
865,1 5 5 11 ,9.75,88%,9.86,4.12
866,3 3 7 9 ,9.75,90.6%,9.93,3.77
867,2 3 4 10 ,9.76,91.9%,10.2,4.24
868,2 4 6 13 ,9.76,87.3%,10.04,5.04
869,3 8 8 11 ,9.78,89.6%,9.92,4.56
870,5 6 9 12 ,9.8,87.3%,9.84,4.26
871,6 6 8 8 ,9.81,85.9%,9.68,4.4
872,4 9 9 10 ,9.82,89.9%,10.07,4.08
873,6 7 9 12 ,9.82,86.7%,9.7,4.72
874,2 3 9 13 ,9.84,87.6%,10.13,5.28
875,6 9 10 11 ,9.84,91.4%,10.17,4.09
876,3 3 3 5 ,9.85,85.6%,9.53,4.03
877,2 4 5 11 ,9.87,87.3%,10.07,4.72
878,1 2 5 10 ,9.9,91.7%,10.13,4.01
879,1 7 9 10 ,9.9,86.8%,9.84,3.93
880,6 12 13 13 ,9.9,87.3%,9.95,3.83
881,2 2 2 5 ,9.93,78.5%,9.04,4.73
882,3 3 6 10 ,9.94,86.3%,9.77,4.18
883,5 7 9 13 ,9.94,90.9%,10.38,4.06
884,4 4 6 13 ,9.96,82.6%,9.48,5.05
885,6 11 11 12 ,9.96,86.3%,9.83,3.96
886,3 6 9 11 ,9.98,86.6%,9.88,4.63
887,1 3 3 11 ,10,88.1%,9.97,4.67
888,6 10 12 12 ,10,88.8%,10.25,4.58
889,7 8 9 13 ,10,84%,9.72,4.22
890,3 4 5 6 ,10.01,84.1%,9.94,4.98
891,4 9 11 12 ,10.01,88.8%,10.2,4.28
892,6 8 9 11 ,10.01,84.3%,9.86,4.69
893,3 4 8 11 ,10.04,87%,10.05,4.95
894,4 6 7 10 ,10.04,86.6%,10.17,4.79
895,5 5 5 9 ,10.04,87.6%,9.83,4.16
896,2 6 12 12 ,10.05,88.9%,10.5,5.09
897,3 4 4 13 ,10.06,88.9%,10.14,4.21
898,4 5 6 10 ,10.07,90.3%,10.56,4.4
899,1 8 10 11 ,10.08,87.1%,10.06,3.44
900,3 3 6 13 ,10.08,86.3%,10.32,5.3
901,1 11 11 13 ,10.1,87.8%,10.09,4.29
902,6 7 8 9 ,10.1,84.4%,9.73,4.4
903,2 4 12 12 ,10.11,85.7%,10.07,4.75
904,1 2 4 7 ,10.12,89.4%,10.46,4.92
905,2 5 8 11 ,10.12,86%,10.3,5.12
906,2 3 6 9 ,10.14,93.2%,10.6,4.18
907,5 5 6 11 ,10.14,87.1%,10.06,4.61
908,6 8 9 9 ,10.14,86.2%,10.11,4.13
909,1 2 8 13 ,10.15,91.3%,10.42,4.72
910,3 3 7 12 ,10.16,84.5%,10.07,5.28
911,1 5 10 11 ,10.19,86.3%,9.97,3.65
912,2 4 8 9 ,10.19,83.9%,9.91,4.57
913,1 4 5 13 ,10.2,87.7%,10.34,4.52
914,3 4 6 11 ,10.21,89%,10.42,4.58
915,4 6 6 9 ,10.21,87.7%,10.54,5.28
916,1 3 5 9 ,10.23,90.5%,10.47,4.48
917,1 5 9 13 ,10.24,84.9%,10.15,4.75
918,4 5 7 9 ,10.26,86.7%,10.54,5.09
919,5 5 8 10 ,10.28,81.2%,9.75,4.02
920,6 7 8 11 ,10.29,83.6%,9.99,4.83
921,1 4 4 8 ,10.3,89.6%,10.51,5.49
922,2 4 6 12 ,10.31,94.4%,11.11,4.78
923,3 6 9 12 ,10.31,92.8%,10.77,4.19
924,5 6 8 12 ,10.31,87.9%,10.34,4.07
925,3 3 6 7 ,10.33,88.8%,10.71,4.62
926,4 7 9 13 ,10.33,84.2%,10.38,5.7
927,6 9 12 13 ,10.33,88.3%,10.51,4.31
928,2 2 7 12 ,10.34,83%,9.84,4.41
929,2 4 6 7 ,10.34,90.1%,10.47,4.3
930,5 6 7 13 ,10.38,86.3%,10.56,5.45
931,7 9 9 13 ,10.38,87.9%,10.39,4.67
932,5 8 11 12 ,10.39,86.9%,10.6,4.25
933,5 6 8 10 ,10.4,86.9%,10.36,4.41
934,2 5 10 10 ,10.41,78.4%,9.5,3.95
935,6 6 7 12 ,10.42,83.7%,10.11,4.75
936,2 2 8 8 ,10.43,91.4%,10.78,4.74
937,6 11 12 13 ,10.47,80.2%,9.63,4.99
938,2 6 8 12 ,10.49,94%,11.17,4.56
939,6 9 9 11 ,10.49,82.3%,9.79,5.08
940,1 2 7 11 ,10.5,88.2%,10.59,4.67
941,4 5 6 8 ,10.5,87.5%,10.42,4.27
942,4 5 10 12 ,10.53,86.3%,10.39,4.39
943,2 7 12 13 ,10.55,80.2%,9.78,4.86
944,6 10 12 13 ,10.55,82.5%,10.09,4.73
945,1 3 9 9 ,10.58,85%,10.2,4.07
946,1 4 4 11 ,10.61,86.4%,10.51,5.19
947,2 3 9 10 ,10.61,89.7%,10.8,4.22
948,1 2 3 13 ,10.65,91.8%,10.99,4.8
949,3 4 6 8 ,10.69,90.8%,11.23,5.03
950,3 4 9 13 ,10.69,79.4%,9.61,5.47
951,1 2 2 9 ,10.7,82.3%,9.98,4.52
952,1 7 9 11 ,10.7,85.1%,10.44,4.23
953,2 3 6 6 ,10.72,91.8%,11.1,4.39
954,1 3 6 11 ,10.73,88.2%,10.62,4.35
955,6 7 10 12 ,10.73,85.1%,10.7,4.77
956,2 2 5 12 ,10.74,84.6%,10.58,5.18
957,5 10 12 13 ,10.74,83.3%,10.29,4.46
958,1 3 8 13 ,10.75,90.3%,11.07,5
959,1 7 10 13 ,10.76,83.4%,10.39,4.63
960,1 6 6 6 ,10.77,85.5%,10.29,5.08
961,7 8 8 12 ,10.77,83.5%,10.38,4.49
962,2 5 7 7 ,10.79,82.6%,10.39,4.68
963,8 8 10 12 ,10.8,78.6%,9.78,5.62
964,2 3 6 13 ,10.81,90%,10.89,4.57
965,2 6 8 13 ,10.82,87.2%,10.94,5.07
966,3 9 10 13 ,10.88,82.8%,10.99,6.31
967,4 4 7 10 ,10.88,75%,9.01,4.44
968,1 9 10 13 ,10.89,83.1%,10.36,4.45
